#Datasets	MAS_A	MAS_B	UNS_A	UNS_B	MAS_av	UNS_Av
LSU ribosomal protein L34p	1	2	2	1	1.5	1.5
Diphthine synthase (EC 2.1.1.98)	0	0	1	2	0	1.5
Bacterial proteasome-activating AAA-ATPase (PAN)	1	1	2	1	1	1.5
Proteasome subunit alpha (EC 3.4.25.1), archaeal	0	0	2	1	0	1.5
Oligopeptidase A (EC 3.4.24.70)	1	1	1	2	1	1.5
ABC-type protease exporter, membrane fusion protein (MFP) family component PrtE/AprE	0	0	3	0	0	1.5
ATP-dependent Clp protease adaptor protein ClpS	4	3	3	0	3.5	1.5
Outer membrane stress sensor protease DegS	1	1	1	2	1	1.5
SSU ribosomal protein S14p (S29e)	1	3	1	2	2	1.5
Ribosomal protein S6 glutaminyl transferase	1	0	1	2	0.5	1.5
LSU ribosomal protein L18p (L5e)	4	1	0	3	2.5	1.5
LSU ribosomal protein L35p	2	0	1	2	1	1.5
LSU ribosomal protein L7Ae	1	1	0	3	1	1.5
SSU ribosomal protein S6p	3	4	0	3	3.5	1.5
SSU ribosomal protein S3Ae	0	0	2	1	0	1.5
L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1)	1	1	0	3	1	1.5
GTP-binding protein EngB	3	3	2	1	3	1.5
Two-component oxygen-sensor histidine kinase FixL	5	2	0	3	3.5	1.5
V-type ATP synthase subunit I (EC 3.6.3.14)	1	0	1	2	0.5	1.5
Cytochrome oxidase biogenesis protein Cox11-CtaG, copper delivery to Cox1	4	8	3	0	6	1.5
carbon monoxide dehydrogenase G protein	1	1	1	2	1	1.5
Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	1	1	2	1	1	1.5
Formate hydrogenlyase subunit 4	1	1	1	2	1	1.5
[NiFe] hydrogenase metallocenter assembly protein HypC	0	1	2	1	0.5	1.5
[NiFe] hydrogenase metallocenter assembly protein HypE	1	1	2	1	1	1.5
Acryloyl-CoA reductase AcuI/YhdH (EC 1.3.1.84)	1	2	1	2	1.5	1.5
Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	1	3	1	2	2	1.5
Succinate dehydrogenase hydrophobic membrane anchor protein	2	2	1	2	2	1.5
Cytochrome c2	2	1	1	2	1.5	1.5
Alternative cytochrome c oxidase polypeptide CoxN (EC 1.9.3.1)	2	2	0	3	2	1.5
ATP-dependent RNA helicase Atu1833	4	3	0	3	3.5	1.5
Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII	1	0	1	2	0.5	1.5
Transcriptional regulatory protein RtcR	1	2	2	1	1.5	1.5
rRNA small subunit methyltransferase H	4	4	1	2	4	1.5
tRNA(Cytosine32)-2-thiocytidine synthetase	4	2	2	1	3	1.5
Ribonuclease Z (EC 3.1.26.11)	3	2	1	2	2.5	1.5
tRNA-intron endonuclease (EC 3.1.27.9)	0	0	2	1	0	1.5
COG0613, Predicted metal-dependent phosphoesterases (PHP family)	1	1	3	0	1	1.5
Hemoglobin-like protein HbO	1	0	2	1	0.5	1.5
Starvation sensing protein RspA	4	2	1	2	3	1.5
L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)	1	0	1	2	0.5	1.5
L-proline glycine betaine ABC transport system permease protein ProW (TC 3.A.1.12.1)	0	1	1	2	0.5	1.5
Competence protein F homolog, phosphoribosyltransferase domain	2	1	2	1	1.5	1.5
Glutaredoxin-related protein	2	1	3	0	1.5	1.5
Glutathione S-transferase, unnamed subgroup (EC 2.5.1.18)	6	4	1	2	5	1.5
Uncharacterized glutathione S-transferase-like protein	2	2	0	3	2	1.5
Signal peptidase-like protein	2	2	1	2	2	1.5
Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)	1	1	2	1	1	1.5
Osmotically inducible protein OsmY	1	0	2	1	0.5	1.5
Peroxide stress regulator PerR, FUR family	0	1	2	1	0.5	1.5
Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)	2	2	2	1	2	1.5
Hypothetical protein i Rubrerythrin cluster	1	0	2	1	0.5	1.5
RsbR, positive regulator of sigma-B	2	3	1	2	2.5	1.5
Universal stress protein family 4	1	1	2	1	1	1.5
Taurine transport system permease protein TauC	1	1	2	1	1	1.5
Arsenical-resistance protein ACR3	3	3	0	3	3	1.5
Peptidase M48, Ste24p precursor	1	2	0	3	1.5	1.5
Blue copper oxidase CueO precursor	0	0	2	1	0	1.5
Membrane fusion protein of RND family multidrug efflux pump	2	2	1	2	2	1.5
Superoxide dismutase SodM-like protein ChrF	1	0	2	1	0.5	1.5
4-hydroxyproline epimerase (EC 5.1.1.8)	3	2	1	1	2.5	1
Arginine deiminase (EC 3.5.3.6)	4	3	1	1	3.5	1
Carbamate kinase (EC 2.7.2.2)	1	1	1	1	1	1
Putative fumarylacetoacetate (FAA) hydrolase	0	1	1	1	0.5	1
3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	1	3	1	1	2	1
Enoyl-CoA hydratase [valine degradation] (EC 4.2.1.17)	0	0	0	2	0	1
2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.2.1.10)	0	0	1	1	0	1
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	3	6	1	1	4.5	1
Chorismate mutase II (EC 5.4.99.5)	0	0	1	1	0	1
Glutamate 5-kinase (EC 2.7.2.11)	3	3	0	2	3	1
Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)	3	2	0	2	2.5	1
Glutamine synthetase family protein in hypothetical Actinobacterial gene cluster	1	1	1	1	1	1
Glycerate kinase (EC 2.7.1.31)	0	1	0	2	0.5	1
L-serine dehydratase, alpha subunit (EC 4.3.1.17)	1	3	0	2	2	1
Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	4	2	0	2	3	1
Formiminoglutamase (EC 3.5.3.8)	0	1	0	2	0.5	1
Branched-chain acyl-CoA dehydrogenase (EC 1.3.99.12)	0	1	1	1	0.5	1
Probable acyl-CoA dehydrogenase (EC 1.3.99.3)	1	2	1	1	1.5	1
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	2	1	0	2	1.5	1
2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	1	2	0	2	1.5	1
5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	1	0	2	0	0.5	1
5-methylthioribose kinase (EC 2.7.1.100)	1	0	1	1	0.5	1
Small Ras-like GTPase, component of G-protein-coupled receptor (GPCR) system	1	1	1	1	1	1
D-proline reductase, 26 kDa subunit (EC 1.21.4.1)	0	1	1	1	0.5	1
Predicted regulator PutR for proline utilization, GntR family	3	0	0	2	1.5	1
Similar to eukaryotic Peptidyl prolyl 4-hydroxylase, alpha subunit (EC 1.14.11.2)	5	3	1	1	4	1
Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)	2	1	1	1	1.5	1
Tryptophan synthase beta chain like (EC 4.2.1.20)	1	0	1	1	0.5	1
Nickel transporter UreH	0	1	2	0	0.5	1
Urea ABC transporter, permease protein UrtC	2	1	1	1	1.5	1
Urea carboxylase-related ABC transporter, permease protein	1	0	1	1	0.5	1
L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	1	1	1	1	1	1
Transketolase, N-terminal section (EC 2.2.1.1)	2	1	1	1	1.5	1
SusD, outer membrane protein	7	5	1	1	6	1
N-Acetyl-D-glucosamine ABC transport system, permease protein 1	0	0	0	2	0	1
5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	1	1	1	1	1	1
2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)	3	2	1	1	2.5	1
2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	2	5	1	1	3.5	1
Pectin degradation protein KdgF	0	0	1	1	0	1
Transcriptional regulator KdgR, KDG operon repressor	1	0	0	2	0.5	1
Xylan oligosaccharide ABC transporter, permease component 2	0	0	2	0	0	1
Broad-specificity glycerol dehydrogenase (EC 1.1.99.22), subunit SldA	0	0	0	2	0	1
Gluconate permease, Bsu4004 homolog	1	1	0	2	1	1
Predicted nucleoside ABC transporter, permease 1 component	1	0	0	2	0.5	1
Sorbitol operon transcription regulator	0	1	2	0	0.5	1
Deoxyribose-phosphate aldolase (EC 4.1.2.4)	2	3	0	2	2.5	1
Nucleoside permease NupC	0	1	0	2	0.5	1
Phosphopentomutase (EC 5.4.2.7)	1	2	1	1	1.5	1
Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)	0	2	2	0	1	1
Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), subunit DhaM	0	1	1	1	0.5	1
Aldose 1-epimerase (EC 5.1.3.3)	4	3	0	2	3.5	1
L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0	1	2	0	0.5	1
Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	0	0	1	1	0	1
Formyltetrahydrofolate deformylase (EC 3.5.1.10)	3	4	2	0	3.5	1
Glucose-6-phosphate isomerase, archaeal II (EC 5.3.1.9)	2	1	1	1	1.5	1
Sucrose phosphorylase (EC 2.4.1.7)	1	1	0	2	1	1
Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	1	1	1	1	1	1
Glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein (TC 3.A.1.1.3)	0	3	1	1	1.5	1
Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)	1	2	1	1	1.5	1
Probable glycerol transport protein	0	1	1	1	0.5	1
Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	2	1	2	0	1.5	1
Glycolate dehydrogenase (EC 1.1.99.14), FAD-binding subunit GlcE	1	1	1	1	1	1
Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD	3	2	0	2	2.5	1
Putative phosphoenolpyruvate synthase/pyruvate phosphate dikinase, C-terminal domain	2	3	1	1	2.5	1
Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	1	0	0	2	0.5	1
(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)	0	1	1	1	0.5	1
Transcriptional regulatory protein UhpA	0	0	0	2	0	1
Inositol transport system ATP-binding protein	1	1	0	2	1	1
2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)	4	3	2	0	3.5	1
L-arabinose isomerase (EC 5.3.1.4)	4	3	0	2	3.5	1
Aldehyde dehydrogenase A (EC 1.2.1.22)	1	0	0	2	0.5	1
L-rhamnose isomerase (EC 5.3.1.14)	1	1	0	2	1	1
L-rhamnose-proton symporter	2	1	1	1	1.5	1
Predicted rhamnogalacturonan lyase in rhamnose utilization cluster	1	3	1	1	2	1
Endoglucanase (EC 3.2.1.4)	2	1	2	0	1.5	1
Predicted sodium-dependent mannose transporter	1	0	1	1	0.5	1
Particulate methane monooxygenase B-subunit (EC 1.14.13.25)	0	1	1	1	0.5	1
Methylmalonyl-CoA epimerase (EC 5.1.99.1)	3	2	0	2	2.5	1
Malate Na(+) symporter	1	0	2	0	0.5	1
Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)	1	1	1	1	1	1
GDSL-like lipase/acylhydrolase	1	1	2	0	1	1
polyhydroxyalkanoate synthesis repressor PhaR	0	0	2	0	0	1
Putative glucanase glgE (EC 3.2.1.-)	1	2	1	1	1.5	1
PTS system, glucose-specific IIB component (EC 2.7.1.69)	0	0	1	1	0	1
Hypothetical protein VC0266 (sugar utilization related?)	1	1	0	2	1	1
D-xylose transport ATP-binding protein XylG	1	1	0	2	1	1
predicted 2-keto-3-deoxyxylonate dehydratase	0	0	2	0	0	1
Xylanase	1	2	1	1	1.5	1
SSU ribosomal protein S21p	3	2	0	2	2.5	1
D,D-heptose 7-phosphate kinase	1	1	1	1	1	1
Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48)	2	1	0	2	1.5	1
O-antigen flippase Wzx	1	1	1	1	1	1
Lipopolysaccharide ABC transporter, ATP-binding protein LptB	4	2	2	0	3	1
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)	1	2	1	1	1.5	1
Polymyxin resistance protein ArnC, glycosyl transferase (EC 2.4.-.-)	0	1	1	1	0.5	1
Uncharacterized ABC transporter, periplasmic component YrbD	2	1	2	0	1.5	1
ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)	1	1	2	0	1	1
Beta-1,3-glucosyltransferase	0	1	2	0	0.5	1
D-glycero-beta-D-manno-heptose 7-phosphate kinase	2	5	2	0	3.5	1
Lipopolysaccharide heptosyltransferase III (EC 2.4.1.-)	1	1	0	2	1	1
Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	2	0	0	2	1	1
Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	3	1	1	1	2	1
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	6	4	0	2	5	1
Polysaccharide deacetylase	1	0	1	1	0.5	1
N-acetylneuraminate lyase (EC 4.1.3.3)	1	1	0	2	1	1
Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	2	3	1	1	2.5	1
Aerobic cobaltochelatase CobT subunit (EC 6.6.1.2)	3	2	0	2	2.5	1
Cobalamin biosynthesis protein CbiG	0	0	1	1	0	1
Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	1	1	2	0	1	1
Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	0	1	1	1	0.5	1
Vitamin B12 ABC transporter, ATPase component BtuD	1	1	1	1	1	1
Duf71: Diphthamide synthesis Dph6	0	0	1	1	0	1
Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase	9	5	1	1	7	1
Biotin operon repressor	1	1	0	2	1	1
Protoporphyrin IX Mg-chelatase subunit D (EC 6.6.1.1)	0	1	1	1	0.5	1
Thiamin-regulated outer membrane receptor Omr1	4	3	1	1	3.5	1
Aspartate 1-decarboxylase (EC 4.1.1.11)	2	3	1	1	2.5	1
Phosphosulfolactate synthase (EC 4.4.1.19)	0	0	0	2	0	1
GTP cyclohydrolase I (EC 3.5.4.16) type 2	2	1	2	0	1.5	1
Hypothetical, related to broad specificity phosphatases COG0406	1	1	1	1	1	1
Protein-N(5)-glutamine methyltransferase PrmB, methylates LSU ribosomal protein L3p	1	2	2	0	1.5	1
Chaperone protein HscB	0	0	1	1	0	1
Iron-sulfur cluster regulator SufR	0	1	1	1	0.5	1
Flavodoxin	4	3	2	0	3.5	1
Heme biosynthesis protein related to NirL and NirH	0	0	0	2	0	1
Naphthoate synthase (EC 4.1.3.36)	1	1	1	1	1	1
Molybdenum cofactor biosynthesis protein MoaC	2	2	0	2	2	1
Molybdopterin biosynthesis protein MoeB	1	1	0	2	1	1
Glutamine amidotransferase chain of NAD synthetase	1	1	1	1	1	1
Nicotinamide-nucleotide adenylyltransferase, NadM family (EC 2.7.7.1)	0	2	0	2	1	1
Redox-sensitive transcriptional regulator (AT-rich DNA-binding protein)	1	0	0	2	0.5	1
NADH pyrophosphatase (EC 3.6.1.22)	3	1	0	2	2	1
2-methyl-6-solanyl-1,4-benzoquinone methyltransferase	0	0	1	1	0	1
Aromatic-amino-acid aminotransferase (EC 2.6.1.57)	2	2	1	1	2	1
Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	0	0	1	1	0	1
FAD pyrophosphatase (EC 3.6.1.18)	0	1	2	0	0.5	1
Pseudouridine-5' phosphatase (EC 3.1.3.-)	1	1	1	1	1	1
Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.5.3)	0	0	0	2	0	1
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	4	4	2	0	4	1
Exonuclease SbcD	2	1	1	1	1.5	1
Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	2	3	0	2	2.5	1
DinG family ATP-dependent helicase CPE1197	1	0	1	1	0.5	1
Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	4	3	0	2	3.5	1
Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)	3	2	0	2	2.5	1
DNA replication helicase protein MCM	0	0	1	1	0	1
Replication factor C large subunit	0	0	1	1	0	1
DNA-binding protein Fis	2	0	2	0	1	1
DNA-binding protein HBsu	1	2	1	1	1.5	1
Replicative DNA helicase (EC 3.6.1.-) [SA14-24]	1	0	1	1	0.5	1
Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	1	3	0	2	2	1
Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	5	3	1	1	4	1
Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)	3	0	0	2	1.5	1
Deoxyribonuclease TatD	1	0	0	2	0.5	1
Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	1	2	0	2	1.5	1
Mevalonate kinase (EC 2.7.1.36)	0	0	1	1	0	1
Phytoene desaturase (EC 1.14.99.-)	2	3	1	1	2.5	1
Squalene--hopene cyclase (EC 5.4.99.17)	0	1	0	2	0.5	1
Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	3	3	0	2	3	1
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	1	2	0	2	1.5	1
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	3	5	0	2	4	1
Diacylglycerol kinase (EC 2.7.1.107)	3	1	1	1	2	1
3-oxoacyl-[ACP] synthase (EC 2.3.1.41) FabV like	1	1	1	1	1	1
FIG018329: 1-acyl-sn-glycerol-3-phosphate acyltransferase	1	1	0	2	1	1
FIG027190: Putative transmembrane protein	0	0	0	2	0	1
Lysophospholipid acyltransferase	6	3	1	1	4.5	1
Putative 3-hydroxyacyl-coa dehydrogenase	1	1	2	0	1	1
Short chain fatty acids transporter	2	1	2	0	1.5	1
TonB-dependent siderophore receptor	3	5	0	2	4	1
Ferric siderophore transport system, periplasmic binding protein TonB	6	4	1	1	5	1
Putative heme iron utilization protein	0	0	0	2	0	1
Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)	1	1	1	1	1	1
High-affinity leucine-specific transport system, periplasmic binding protein LivK (TC 3.A.1.4.1)	1	1	1	1	1	1
Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	1	1	2	0	1	1
Predicted secretion system X FIG084745: hypothetical protein	1	0	0	2	0.5	1
Predicted secretion system X protein GspG-like 3	0	1	2	0	0.5	1
Di/tripeptide permease DtpA	1	2	1	1	1.5	1
ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB4)	3	3	1	1	3	1
Na(+) H(+) antiporter subunit D	1	2	1	1	1.5	1
Na(+) H(+) antiporter subunit D (TC 2.A.63.1.2)	0	1	1	1	0.5	1
Na(+) H(+) antiporter subunit E	3	1	1	1	2	1
Outer membrane lipoprotein omp16 precursor	6	3	1	1	4.5	1
Type I secretion outer membrane protein, TolC precursor	2	3	0	2	2.5	1
Nicel/Cobalt-specific TonB-dependent outer membrane receptor	2	1	1	1	1.5	1
Zinc-regulated outer membrane receptor	0	0	1	1	0	1
Leader peptidase (Prepilin peptidase) (EC 3.4.23.43)	3	3	0	2	3	1
Two-component sensor PilS	1	1	0	2	1	1
Type IV fimbrial biogenesis protein PilV	2	6	0	2	4	1
Type IV fimbrial biogenesis protein PilX	1	0	0	2	0.5	1
Type IV pilin PilA	1	1	1	1	1	1
Type IV pilus biogenesis protein PilM	1	3	0	2	2	1
Type IV pilus biogenesis protein PilO	5	1	2	0	3	1
Benzoate transport protein	2	2	1	1	2	1
Benzoyl-CoA oxygenase component B	3	2	1	1	2.5	1
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	5	6	1	1	5.5	1
3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6)	1	1	1	1	1	1
Salicylate hydroxylase (EC 1.14.13.1)	1	2	0	2	1.5	1
P-hydroxybenzoate hydroxylase (EC 1.14.13.2)	3	3	1	1	3	1
Archease	1	1	2	0	1	1
Uncharacterized monothiol glutaredoxin ycf64-like	2	1	0	2	1.5	1
DUF1022 domain-containing protein	1	0	1	1	0.5	1
ThiJ/PfpI family protein	2	3	2	0	2.5	1
Oxalyl-CoA decarboxylase (EC 4.1.1.8)	0	1	0	2	0.5	1
Hydantoin racemase (EC 5.1.99.-)	1	0	1	1	0.5	1
prolyl oligopeptidase family protein	4	4	1	1	4	1
Flagellar motor switch protein FliN	2	2	1	1	2	1
Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	0	1	1	1	0.5	1
Flagellar biosynthesis protein FlhF	1	0	2	0	0.5	1
Flagellar motor rotation protein MotA	5	4	0	2	4.5	1
Predicted signal transduction protein	2	2	1	1	2	1
Flagellar biosynthesis protein FliS	2	1	1	1	1.5	1
Flagellar hook protein FlgE	3	5	0	2	4	1
Flagellar hook-associated protein FlgL	2	4	1	1	3	1
Flagellar regulatory protein FleQ	6	2	0	2	4	1
Cyanate ABC transporter, substrate binding protein	1	1	2	0	1	1
Nitric oxide reductase activation protein NorD	0	0	1	1	0	1
Nitric-oxide reductase subunit C (EC 1.7.99.7)	0	0	1	1	0	1
Nitrous oxide reductase maturation transmembrane protein NosY	1	1	2	0	1	1
Cytochrome c-type protein NapC	1	1	1	1	1	1
Nitrate/nitrite response regulator protein	1	2	0	2	1.5	1
Nitrite reductase probable [NAD(P)H] subunit (EC 1.7.1.4)	2	1	0	2	1.5	1
Respiratory nitrate reductase gamma chain (EC 1.7.99.4)	3	2	1	1	2.5	1
preQ1-regulated inosine-uridine nucleoside hydrolase (EC 3.2.2.1)	0	0	1	1	0	1
Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib	1	0	1	1	0.5	1
Phage tail fiber protein	5	3	1	1	4	1
Co-activator of prophage gene expression IbrB	0	0	2	0	0	1
Phage terminase	2	2	0	2	2	1
Phage tail fibers	1	1	1	1	1	1
SSU ribosomal protein S18p	2	1	2	0	1.5	1
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	0	1	2	0	0.5	1
Integral membrane protein YggT, involved in response to extracytoplasmic stress (osmotic shock)	2	2	0	2	2	1
2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)	1	2	1	1	1.5	1
Glutathione-regulated potassium-efflux system protein KefB	7	4	1	1	5.5	1
Hydrolase, alpha/beta fold family functionally coupled to Phosphoribulokinase	1	1	2	0	1	1
Kef-type K+ transport systems (NAD-binding component fused to domain related to exopolyphosphatase)	0	1	2	0	0.5	1
RNA methyltransferase, TrmA family	2	1	2	0	1.5	1
SSU ribosomal protein S20p	5	3	1	1	4	1
Uncharacterized protein, similar to the N-terminal domain of Lon protease	4	2	1	1	3	1
DnaJ-class molecular chaperone CbpA	2	9	2	0	5.5	1
Deblocking aminopeptidase (EC 3.4.11.-)	0	0	0	2	0	1
ClpXP protease specificity-enhancing factor	0	1	1	1	0.5	1
Ribosomal-protein-S5p-alanine acetyltransferase	0	0	1	1	0	1
LSU ribosomal protein L28p	2	2	2	0	2	1
LSU m5C1962 methyltransferase RlmI	1	3	0	2	2	1
LSU ribosomal protein L1e (L4p)	0	0	0	2	0	1
LSU ribosomal protein L5e (L18p)	1	1	2	0	1	1
SSU ribosomal protein S19p (S15e)	3	1	0	2	2	1
SSU ribosomal protein S27Ae	0	0	2	0	0	1
Selenide,water dikinase (EC 2.7.9.3)	2	1	1	1	1.5	1
Translation initiation factor 3	5	4	0	2	4.5	1
Probable GTPase related to EngC	3	3	1	1	3	1
RNA polymerase sigma factor SigB	0	1	2	0	0.5	1
Adenylate/guanylate cyclase (EC 4.6.1.2)	2	2	2	0	2	1
Putative hemin-binding lipoprotein	1	1	1	1	1	1
Inorganic pyrophospatase PpaX	0	1	1	1	0.5	1
Autolysis response regulater LytR	0	1	2	0	0.5	1
Copper-sensing two-component system response regulator CpxR	2	2	1	1	2	1
Putative sensor-like histidine kinase YfhK	2	1	0	2	1.5	1
N-acyl homoserine lactone hydrolase	1	1	1	1	1	1
Phosphocarrier protein, nitrogen regulation associated	1	1	0	2	1	1
VapC toxin protein	1	0	1	1	0.5	1
Cytochrome c-type biogenesis protein ResA	1	2	1	1	1.5	1
Putative analog of CcoH, COG3198	0	1	1	1	0.5	1
Copper metallochaperone, bacterial analog of Cox17 protein	2	1	1	1	1.5	1
Carbon monoxide dehydrogenase F protein	1	1	2	0	1	1
Formate dehydrogenase chain D (EC 1.2.1.2)	2	3	0	2	2.5	1
Formate hydrogenlyase subunit 3	1	2	1	1	1.5	1
Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	1	0	2	0	0.5	1
NAD-dependent formate dehydrogenase alpha subunit	2	3	1	1	2.5	1
NAD-dependent formate dehydrogenase gamma subunit	0	0	0	2	0	1
cytochrome-c3 hydrogenase alpha chain	0	0	2	0	0	1
hydrogenase, subunit gamma related protein	1	1	0	2	1	1
Periplasmic [Fe] hydrogenase (EC 1.12.7.2)	0	0	0	2	0	1
Uptake hydrogenase small subunit precursor (EC 1.12.99.6)	1	1	2	0	1	1
Electron transport complex protein RnfC	1	0	1	1	0.5	1
[NiFe] hydrogenase nickel incorporation protein HypA	0	0	1	1	0	1
Cytochrome c oxidase subunit CcoP (EC 1.9.3.1)	2	3	1	1	2.5	1
Succinate dehydrogenase cytochrome b subunit	1	1	1	1	1	1
NADH:ubiquinone oxidoreductase 17.2 kD subunit	2	2	1	1	2	1
Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.5.3)	0	1	2	0	0.5	1
Probable cytochrome c2	1	1	0	2	1	1
Alternative cytochrome c oxidase polypeptide CoxM (EC 1.9.3.1)	2	1	0	2	1.5	1
Alternative cytochrome c oxidase polypeptide CoxP (EC 1.9.3.1)	1	2	0	2	1.5	1
ATP-dependent RNA helicase RhlB	2	2	0	2	2	1
DNA-directed RNA polymerase subunit L (EC 2.7.7.6)	0	0	1	1	0	1
TATA-box binding protein	1	0	2	0	0.5	1
Exoribonuclease II (EC 3.1.13.1)	1	0	1	1	0.5	1
COG2106 Methylase	0	0	0	2	0	1
Sigma factor RpoE negative regulatory protein RseA	1	0	0	2	0.5	1
tRNA(U54)-2-thioribothymidine synthetase	0	0	1	1	0	1
tRNA nucleotidyltransferase, archaeal type (EC 2.7.7.21) (EC 2.7.7.25)	0	0	1	1	0	1
Fe-S OXIDOREDUCTASE (1.8.-.-) Wyeosine biosynthesis	0	0	0	2	0	1
Putative bacterial haemoglobin	1	2	1	1	1.5	1
Betaine aldehyde dehydrogenase (EC 1.2.1.8)	1	1	0	2	1	1
HTH-type transcriptional regulator BetI	0	0	1	1	0	1
FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)	1	0	1	1	0.5	1
Glutathione peroxidase (EC 1.11.1.9)	5	3	0	2	4	1
GDP-mannose pyrophosphatase YffH	2	2	2	0	2	1
Thiamin-phosphate pyrophosphorylase-like protein	1	1	0	2	1	1
Heat shock (predicted periplasmic) protein YciM, precursor	2	2	1	1	2	1
RNA polymerase sigma factor	0	0	0	2	0	1
Glucans biosynthesis glucosyltransferase H (EC 2.4.1.-)	1	1	2	0	1	1
Alkanesulfonate monooxygenase (EC 1.14.14.5)	0	0	2	0	0	1
thioredoxin SoxW	0	0	1	1	0	1
Neuraminidase NanP	2	3	1	1	2.5	1
Putative glutathione transporter, ATP-binding component	0	1	1	1	0.5	1
Putative glutathione transporter, permease component	0	1	0	2	0.5	1
